,WeekEndDate,E07000199_Lineage,E07000199_Other,E06000025_Lineage,E06000025_Other,E07000114_Lineage,E07000114_Other,E08000036_Lineage,E08000036_Other,E07000069_Lineage,E07000069_Other,E07000213_Lineage,E07000213_Other,E07000085_Lineage,E07000085_Other,E07000209_Lineage,E07000209_Other,E09000003_Lineage,E09000003_Other,E07000127_Lineage,E07000127_Other,E09000031_Lineage,E09000031_Other,E08000017_Lineage,E08000017_Other,E07000008_Lineage,E07000008_Other,E08000011_Lineage,E08000011_Other,E07000122_Lineage,E07000122_Other,E07000244_Lineage,E07000244_Other,E07000089_Lineage,E07000089_Other,E07000028_Lineage,E07000028_Other,E08000033_Lineage,E08000033_Other,E07000110_Lineage,E07000110_Other,E07000240_Lineage,E07000240_Other,E08000029_Lineage,E08000029_Other,E08000009_Lineage,E08000009_Other,E07000007_Lineage,E07000007_Other,E07000079_Lineage,E07000079_Other,E08000015_Lineage,E08000015_Other,E07000113_Lineage,E07000113_Other,E06000040_Lineage,E06000040_Other,E07000065_Lineage,E07000065_Other,E06000039_Lineage,E06000039_Other,E07000227_Lineage,E07000227_Other,E07000062_Lineage,E07000062_Other,E07000111_Lineage,E07000111_Other,E08000037_Lineage,E08000037_Other,E08000012_Lineage,E08000012_Other,E07000064_Lineage,E07000064_Other,E09000033_Lineage,E09000033_Other,E06000031_Lineage,E06000031_Other,E06000024_Lineage,E06000024_Other,E07000193_Lineage,E07000193_Other,E07000041_Lineage,E07000041_Other,E08000034_Lineage,E08000034_Other,E06000023_Lineage,E06000023_Other,E07000152_Lineage,E07000152_Other,E09000012_Lineage,E09000012_Other,E06000055_Lineage,E06000055_Other,E07000098_Lineage,E07000098_Other,E06000002_Lineage,E06000002_Other,E07000074_Lineage,E07000074_Other,E06000006_Lineage,E06000006_Other,E06000001_Lineage,E06000001_Other,E09000010_Lineage,E09000010_Other,E07000116_Lineage,E07000116_Other,E06000016_Lineage,E06000016_Other,E06000044_Lineage,E06000044_Other,E07000103_Lineage,E07000103_Other,E07000118_Lineage,E07000118_Other,E07000095_Lineage,E07000095_Other,E08000031_Lineage,E08000031_Other,E06000043_Lineage,E06000043_Other,E07000211_Lineage,E07000211_Other,E07000115_Lineage,E07000115_Other,E07000241_Lineage,E07000241_Other,E06000054_Lineage,E06000054_Other,E07000238_Lineage,E07000238_Other,E07000219_Lineage,E07000219_Other,E07000108_Lineage,E07000108_Other,E07000207_Lineage,E07000207_Other,E09000015_Lineage,E09000015_Other,E06000050_Lineage,E06000050_Other,E07000070_Lineage,E07000070_Other,E09000030_Lineage,E09000030_Other,E07000084_Lineage,E07000084_Other,E09000014_Lineage,E09000014_Other,E07000068_Lineage,E07000068_Other,E06000034_Lineage,E06000034_Other,E07000224_Lineage,E07000224_Other,E07000146_Lineage,E07000146_Other,E07000067_Lineage,E07000067_Other,E07000072_Lineage,E07000072_Other,E08000024_Lineage,E08000024_Other,E06000038_Lineage,E06000038_Other,E08000025_Lineage,E08000025_Other,E07000148_Lineage,E07000148_Other,E06000019_Lineage,E06000019_Other,E07000210_Lineage,E07000210_Other,E07000216_Lineage,E07000216_Other,E06000057_Lineage,E06000057_Other,E07000143_Lineage,E07000143_Other,E07000144_Lineage,E07000144_Other,E07000243_Lineage,E07000243_Other,E07000179_Lineage,E07000179_Other,E08000027_Lineage,E08000027_Other,E07000112_Lineage,E07000112_Other,E09000028_Lineage,E09000028_Other,E07000228_Lineage,E07000228_Other,E07000218_Lineage,E07000218_Other,E07000026_Lineage,E07000026_Other,E07000105_Lineage,E07000105_Other,E06000045_Lineage,E06000045_Other,E07000012_Lineage,E07000012_Other,E07000005_Lineage,E07000005_Other,E08000007_Lineage,E08000007_Other,E06000014_Lineage,E06000014_Other,E08000004_Lineage,E08000004_Other,E07000145_Lineage,E07000145_Other,E08000032_Lineage,E08000032_Other,E09000018_Lineage,E09000018_Other,E09000005_Lineage,E09000005_Other,E08000006_Lineage,E08000006_Other,E06000032_Lineage,E06000032_Other,E09000007_Lineage,E09000007_Other,E07000096_Lineage,E07000096_Other,E07000188_Lineage,E07000188_Other,E07000109_Lineage,E07000109_Other,E07000031_Lineage,E07000031_Other,E07000106_Lineage,E07000106_Other,E06000010_Lineage,E06000010_Other,E06000018_Lineage,E06000018_Other,E07000107_Lineage,E07000107_Other,E06000033_Lineage,E06000033_Other,E07000154_Lineage,E07000154_Other,E06000008_Lineage,E06000008_Other,E06000056_Lineage,E06000056_Other,E09000024_Lineage,E09000024_Other,E07000149_Lineage,E07000149_Other,E07000099_Lineage,E07000099_Other,E07000081_Lineage,E07000081_Other,E07000092_Lineage,E07000092_Other,E07000212_Lineage,E07000212_Other,E09000020_Lineage,E09000020_Other,E07000094_Lineage,E07000094_Other,E06000004_Lineage,E06000004_Other,E07000004_Lineage,E07000004_Other,E07000147_Lineage,E07000147_Other,E07000130_Lineage,E07000130_Other,E07000200_Lineage,E07000200_Other,E09000019_Lineage,E09000019_Other,E07000226_Lineage,E07000226_Other,E07000032_Lineage,E07000032_Other,E09000032_Lineage,E09000032_Other,E09000009_Lineage,E09000009_Other,E07000077_Lineage,E07000077_Other,E07000153_Lineage,E07000153_Other,E09000026_Lineage,E09000026_Other,E09000011_Lineage,E09000011_Other,E06000047_Lineage,E06000047_Other,E07000076_Lineage,E07000076_Other,E07000208_Lineage,E07000208_Other,E08000003_Lineage,E08000003_Other,E09000004_Lineage,E09000004_Other,E06000027_Lineage,E06000027_Other,E07000178_Lineage,E07000178_Other,E07000217_Lineage,E07000217_Other,E07000177_Lineage,E07000177_Other,E08000019_Lineage,E08000019_Other,E09000029_Lineage,E09000029_Other,E07000071_Lineage,E07000071_Other,E07000215_Lineage,E07000215_Other,E09000017_Lineage,E09000017_Other,E07000202_Lineage,E07000202_Other,E07000165_Lineage,E07000165_Other,E07000242_Lineage,E07000242_Other,E07000245_Lineage,E07000245_Other,E09000008_Lineage,E09000008_Other,E09000013_Lineage,E09000013_Other,E07000009_Lineage,E07000009_Other,E06000035_Lineage,E06000035_Other,E07000138_Lineage,E07000138_Other,E07000073_Lineage,E07000073_Other,E08000021_Lineage,E08000021_Other,E09000006_Lineage,E09000006_Other,E07000123_Lineage,E07000123_Other,E09000016_Lineage,E09000016_Other,E07000063_Lineage,E07000063_Other,E07000169_Lineage,E07000169_Other,E09000002_Lineage,E09000002_Other,E09000023_Lineage,E09000023_Other,E07000066_Lineage,E07000066_Other,E06000021_Lineage,E06000021_Other,E07000075_Lineage,E07000075_Other,E07000039_Lineage,E07000039_Other,E07000203_Lineage,E07000203_Other,E07000246_Lineage,E07000246_Other,E07000011_Lineage,E07000011_Other,E07000090_Lineage,E07000090_Other,E09000027_Lineage,E09000027_Other,E07000214_Lineage,E07000214_Other,E09000021_Lineage,E09000021_Other,E09000025_Lineage,E09000025_Other,E09000022_Lineage,E09000022_Other,E07000117_Lineage,E07000117_Other,E06000037_Lineage,E06000037_Other,E06000042_Lineage,E06000042_Other
0,2020-09-27,0,2,0,12,0,2,0,32,0,6,0,6,0,4,0,5,0,24,0,12,0,17,0,12,0,5,0,38,0,13,0,2,0,2,0,7,0,18,0,3,0,5,0,26,0,42,0,10,0,2,0,46,0,6,0,0,0,0,0,6,0,3,0,1,0,3,0,53,0,168,0,2,0,2,0,7,0,9,0,3,0,5,0,38,0,16,0,1,0,19,0,12,0,3,0,21,0,0,0,40,0,14,0,27,0,1,0,52,0,7,0,6,0,8,0,6,0,46,0,5,0,1,0,0,0,4,0,8,0,8,0,11,0,2,0,3,0,15,0,18,0,2,0,22,0,6,0,6,0,1,0,4,0,2,0,2,0,2,0,8,0,92,0,4,0,166,0,3,0,3,0,2,0,3,0,82,0,2,0,0,0,1,0,4,0,23,0,0,0,18,0,3,0,1,0,4,0,1,0,7,0,4,0,2,0,23,0,19,0,29,0,7,0,90,0,18,0,21,0,47,0,13,0,3,0,3,0,2,0,3,0,6,0,1,0,14,0,30,0,0,0,2,0,10,0,22,0,5,0,3,0,1,0,2,0,2,0,1,0,2,0,4,0,1,0,22,0,4,0,1,0,12,0,0,0,11,0,11,0,9,0,10,0,15,0,3,0,0,0,26,0,18,0,78,0,2,0,1,0,114,0,5,0,0,0,5,0,4,0,1,0,61,0,9,0,1,0,4,0,25,0,4,0,10,0,6,0,3,0,8,0,13,0,1,0,11,0,10,0,5,0,184,1,13,0,16,0,13,0,1,0,6,0,17,0,16,0,9,0,10,0,1,0,2,0,2,0,3,0,6,0,5,0,3,0,3,0,3,0,26,0,14,0,12,0,1,0,11
1,2020-10-04,0,0,0,8,0,2,0,12,0,6,0,0,0,2,0,6,0,22,0,8,0,20,0,18,0,1,0,12,0,3,0,7,0,4,0,3,0,13,0,1,0,7,0,9,0,8,0,0,0,1,0,11,0,4,0,5,0,2,0,2,0,2,0,2,0,1,0,34,0,26,0,0,0,7,0,7,0,5,0,0,0,42,0,29,0,15,0,2,0,15,0,10,0,5,0,29,0,1,0,4,0,16,0,15,0,4,0,3,0,12,0,2,0,5,0,8,0,7,0,3,0,3,0,2,0,2,0,6,0,3,0,1,0,0,0,4,0,14,0,11,0,0,0,22,0,1,0,17,0,2,0,4,0,0,0,4,0,6,0,6,0,94,0,0,0,27,0,2,0,1,0,1,0,6,0,44,0,6,0,5,0,1,0,2,0,5,0,1,0,18,0,3,0,0,0,2,0,4,0,13,0,8,0,3,0,17,0,21,0,2,0,14,0,51,0,6,0,10,0,14,0,15,0,13,0,1,0,1,0,5,0,8,0,0,0,9,0,35,0,0,0,8,0,3,0,9,0,3,0,3,0,0,0,2,0,3,0,6,0,2,0,3,1,1,0,20,0,3,0,2,0,5,0,2,0,16,0,3,0,3,0,13,0,11,0,4,0,4,0,30,0,8,0,102,0,3,0,5,0,62,0,6,0,2,0,6,0,3,0,1,0,60,0,4,0,3,0,1,0,11,0,2,0,13,0,10,0,2,0,19,0,11,0,1,1,3,0,6,0,1,0,118,1,17,0,3,0,18,0,2,0,0,0,18,0,20,0,5,0,2,0,0,0,1,0,2,0,4,0,8,0,2,0,9,0,0,0,5,0,25,0,18,0,2,0,2,0,8
2,2020-10-11,0,6,0,27,0,4,0,48,0,9,0,4,0,6,0,12,0,29,0,21,0,12,0,30,0,4,0,40,0,14,0,7,0,8,0,2,0,30,0,5,0,6,0,16,0,36,0,8,0,8,0,54,3,2,0,15,0,6,0,6,0,4,0,5,0,6,0,19,0,161,0,2,0,10,0,21,0,3,0,5,0,31,0,59,0,46,0,9,0,13,0,5,0,7,0,10,0,0,0,7,0,15,0,22,0,8,0,13,0,16,0,4,0,8,0,8,0,16,0,19,0,7,0,4,0,2,0,19,0,1,0,6,0,6,0,7,0,11,0,26,0,12,0,22,0,11,0,10,0,6,0,10,0,3,0,10,0,3,0,7,0,29,0,6,0,88,0,9,0,6,0,13,0,4,0,10,0,1,0,6,0,3,0,10,0,24,0,1,0,10,0,2,0,3,0,2,0,5,0,16,0,7,0,4,0,38,0,50,0,19,0,2,0,168,0,16,0,13,0,73,0,11,0,8,0,5,0,3,0,5,0,5,0,2,0,23,0,108,0,6,0,5,0,9,0,31,0,10,0,8,0,3,0,7,0,5,0,4,0,9,0,7,0,8,0,28,0,7,0,4,0,5,0,3,0,10,0,6,0,3,0,22,0,30,0,3,0,5,0,10,1,6,0,60,0,10,0,0,0,144,0,6,0,7,0,20,0,1,0,14,0,147,0,10,0,13,0,5,0,20,0,4,0,18,0,3,0,4,0,22,0,12,0,3,0,6,0,1,0,10,0,23,0,7,0,16,0,10,0,6,0,5,0,11,0,13,0,17,0,7,0,2,0,6,0,1,0,2,0,5,0,2,0,20,0,3,0,18,0,20,0,17,0,13,0,9,0,15
3,2020-10-18,0,8,0,13,0,2,0,32,0,10,0,4,0,3,0,7,0,35,0,25,0,17,0,29,0,0,0,61,0,16,0,3,0,2,0,1,0,41,0,6,0,3,0,9,0,72,0,6,0,2,0,52,3,3,0,10,0,3,0,16,0,4,0,3,0,7,0,13,0,188,0,5,0,17,0,8,0,3,0,2,0,2,0,84,0,35,0,3,0,32,0,3,0,5,0,28,0,2,0,8,0,9,0,21,0,5,0,11,0,13,0,12,0,14,0,5,0,18,0,20,0,10,0,3,0,11,0,5,0,4,0,2,0,5,0,10,0,28,0,24,0,4,0,27,0,4,0,10,0,4,0,11,0,0,0,0,0,5,0,9,0,8,0,6,0,89,0,10,0,3,0,1,0,1,0,9,0,1,0,4,0,4,0,5,0,17,0,1,0,14,0,3,0,4,0,0,0,2,0,4,0,2,0,0,0,55,0,64,0,71,0,3,0,110,0,25,0,25,0,58,0,12,0,17,0,1,0,1,0,2,0,5,0,6,0,13,0,35,0,4,0,8,0,9,0,51,0,5,0,10,0,6,0,4,0,2,0,2,0,1,0,17,0,1,0,26,0,4,0,0,0,4,0,4,0,23,0,5,0,3,0,18,0,26,0,8,0,3,0,22,0,14,0,38,0,10,0,5,0,117,0,18,0,0,0,10,0,4,0,6,0,129,0,9,0,14,0,4,0,34,0,4,0,12,0,9,0,4,0,12,0,24,0,1,0,6,0,2,0,0,0,36,0,8,0,35,0,13,0,4,0,4,0,18,0,15,0,6,0,29,0,0,0,3,0,6,0,1,0,3,0,1,0,18,0,3,0,10,0,31,0,33,0,19,0,3,0,3
4,2020-10-25,0,12,0,17,8,7,0,84,0,10,0,6,0,4,0,11,0,60,0,24,0,57,0,68,0,4,0,20,0,23,0,5,0,11,0,8,0,46,0,8,0,17,0,30,0,56,0,15,0,3,0,42,8,7,0,3,0,9,0,25,0,8,0,1,1,5,0,31,0,81,0,1,0,21,0,6,0,7,0,3,0,10,0,52,0,62,1,18,0,43,0,7,0,18,0,6,0,2,0,25,0,12,0,63,0,5,0,28,0,25,0,13,0,22,0,19,0,58,0,43,0,10,0,9,0,17,0,18,0,2,0,13,0,6,0,8,0,28,0,40,0,14,0,75,0,10,0,68,0,13,0,26,0,8,0,4,0,2,0,18,0,42,0,6,0,137,0,9,0,2,1,11,2,4,0,11,0,13,0,4,0,9,0,10,0,36,0,6,0,50,0,19,0,5,0,3,0,5,1,18,0,5,0,4,0,49,0,39,0,62,0,6,0,110,0,32,0,32,0,42,0,31,0,37,0,16,0,3,1,5,0,6,0,23,0,13,0,18,0,9,0,9,0,35,0,42,0,20,1,32,0,2,0,6,0,1,0,7,0,5,0,20,0,8,0,30,0,35,0,4,0,6,0,6,0,50,0,13,0,3,0,30,0,53,0,3,0,9,0,44,0,50,0,119,0,2,0,4,0,120,1,22,0,6,0,25,0,11,0,27,0,122,0,21,0,12,0,8,0,36,0,7,0,18,0,20,0,7,0,31,0,46,0,5,6,10,0,7,0,8,0,35,0,24,0,52,1,35,0,4,0,11,0,21,0,54,1,20,0,19,0,4,0,5,0,4,0,2,0,4,0,10,0,20,0,5,0,21,0,68,1,39,0,35,0,10,0,40
5,2020-11-01,1,6,0,29,14,5,0,91,0,3,0,15,0,8,1,10,0,26,0,26,1,21,0,39,0,5,0,23,0,9,0,12,1,5,0,2,0,20,2,16,0,4,0,30,0,38,0,17,0,4,0,22,1,3,0,10,0,1,0,30,0,11,0,0,1,7,0,46,0,57,1,0,0,9,0,40,0,9,0,6,0,4,0,63,0,49,0,2,0,13,0,9,0,0,0,22,0,2,0,12,0,5,0,35,1,7,0,20,0,5,0,11,0,5,0,5,0,29,0,14,0,4,1,4,0,5,0,9,0,1,0,8,2,7,0,13,0,12,0,20,0,11,0,16,0,8,1,20,0,12,1,7,0,5,0,18,0,5,0,24,0,23,0,6,0,166,0,6,1,2,0,14,3,10,0,19,0,11,0,8,0,6,0,9,0,28,0,6,0,20,2,2,0,6,0,2,1,2,0,16,0,21,0,1,0,64,0,18,0,107,0,14,0,102,0,39,0,19,0,84,0,13,0,20,0,3,0,5,1,5,0,7,2,17,0,48,1,7,3,9,1,15,0,7,0,11,0,21,5,19,0,10,0,9,0,7,0,5,0,12,0,2,0,7,1,35,0,3,0,3,0,6,0,2,0,12,0,9,0,22,0,25,0,34,0,1,0,0,0,24,0,27,0,87,0,1,0,10,0,128,4,21,0,0,0,5,0,4,0,2,0,63,0,19,0,14,0,1,1,41,1,10,0,5,0,3,0,14,0,25,0,14,0,2,14,13,0,10,0,2,0,60,2,19,0,18,9,26,0,3,0,6,2,9,2,16,1,6,0,39,0,8,0,8,0,5,0,2,0,8,0,5,1,17,0,5,0,12,0,28,0,22,0,8,0,3,0,8
6,2020-11-08,0,13,0,7,30,8,0,127,0,9,1,14,1,6,0,17,4,38,0,8,1,45,0,115,0,15,0,23,0,13,1,33,0,3,0,4,0,26,7,8,0,4,0,22,0,61,0,22,0,1,0,54,17,8,0,19,2,9,1,27,0,3,1,1,1,11,0,57,1,76,1,3,1,26,0,100,0,1,0,10,0,0,0,175,0,13,0,8,4,28,0,22,0,4,0,31,1,6,0,18,0,16,3,61,0,7,0,25,0,0,1,7,0,9,0,12,0,31,0,19,0,11,4,5,3,10,0,0,0,6,0,5,6,14,0,6,0,22,1,39,1,19,4,87,0,1,4,40,0,7,2,12,0,1,0,23,0,16,0,21,0,26,0,4,0,168,1,20,1,3,0,3,0,10,0,32,3,19,4,35,0,4,1,10,0,62,1,8,0,23,0,13,0,13,0,2,5,11,0,0,1,33,0,0,0,30,1,19,0,97,1,44,0,244,0,47,0,29,0,77,0,32,0,12,0,8,0,3,2,24,1,3,4,7,0,132,0,3,5,13,2,31,0,13,0,84,1,20,1,11,11,16,0,11,1,2,0,2,0,9,0,16,0,1,0,63,1,28,0,11,0,3,0,31,2,25,3,6,0,12,1,33,1,47,0,16,1,3,1,76,1,11,0,97,0,12,1,4,0,138,3,20,0,2,1,35,0,9,0,18,0,130,1,18,1,22,0,4,2,30,0,27,0,52,0,20,0,15,1,30,1,17,0,10,28,40,0,3,1,7,0,83,3,14,1,7,25,83,0,2,0,6,3,46,1,14,2,16,1,46,0,7,1,10,1,11,0,0,0,33,0,2,0,26,0,11,1,14,0,60,1,32,0,24,0,6,0,29
7,2020-11-15,0,17,1,14,34,11,0,101,0,6,0,11,3,2,3,7,8,60,0,5,3,21,0,58,1,7,0,27,1,33,1,15,0,3,1,2,0,34,9,14,0,9,1,13,0,52,2,8,1,4,0,7,25,6,2,10,10,10,1,19,0,1,3,2,7,10,0,43,0,60,0,2,6,16,0,48,2,5,0,19,0,2,0,145,1,80,0,10,0,19,1,25,1,12,0,15,2,4,0,19,0,4,14,53,5,4,1,82,3,19,1,10,1,17,2,20,0,13,0,10,1,9,9,4,0,5,1,12,1,10,0,14,10,15,0,3,0,27,0,47,2,12,6,77,1,13,2,32,2,12,8,14,1,4,1,29,0,5,4,19,0,28,0,20,1,77,0,11,0,7,1,4,0,1,0,10,3,12,1,14,1,15,1,3,0,84,2,7,2,33,1,8,0,11,1,3,6,4,0,19,0,15,0,3,0,41,0,19,1,69,0,15,0,121,3,22,0,38,0,113,1,23,2,14,0,18,2,3,3,27,0,5,18,11,1,107,0,46,11,20,6,30,0,25,0,42,1,15,8,25,19,6,1,13,0,14,0,8,1,10,1,17,0,18,1,18,2,5,0,16,2,26,0,10,4,26,0,5,0,10,2,22,7,51,0,6,1,5,3,61,6,24,0,76,1,10,0,1,0,156,14,33,0,0,0,13,2,8,0,9,1,106,3,22,0,17,0,1,3,41,0,11,1,10,1,11,1,3,7,41,0,21,0,5,51,27,0,29,0,7,0,42,6,25,0,39,40,54,0,2,0,5,4,45,3,24,10,15,0,69,1,3,0,3,2,5,0,5,2,8,0,5,1,10,0,2,1,15,5,59,8,35,0,32,2,11,3,34
8,2020-11-22,0,1,0,3,19,3,0,25,1,6,0,0,0,1,0,0,0,8,0,3,7,20,0,3,1,6,1,5,0,13,2,7,0,1,0,0,0,5,5,0,0,2,0,5,0,5,1,8,0,0,0,7,18,3,0,0,1,0,0,7,0,1,0,0,6,4,0,15,0,15,0,0,1,7,2,25,0,3,0,3,0,3,0,55,0,11,0,10,4,2,0,11,0,2,0,6,1,2,0,5,0,3,9,31,0,0,2,45,1,9,0,0,0,5,3,5,1,24,1,3,0,5,2,0,0,9,0,4,0,4,0,3,7,0,0,1,0,4,0,13,2,10,7,17,0,5,4,12,3,1,0,4,1,1,2,15,10,4,2,1,0,4,0,0,0,95,7,8,0,2,1,3,2,1,1,24,4,7,2,7,2,4,1,0,0,16,3,4,4,11,0,5,0,2,0,1,4,1,0,1,1,3,1,1,0,22,0,3,0,30,0,5,1,42,0,2,1,21,0,20,0,21,2,1,1,2,0,0,7,6,0,1,7,6,0,11,0,16,12,11,3,5,4,22,0,15,2,6,0,0,7,0,0,8,0,1,1,1,0,1,0,2,0,1,0,7,1,8,1,0,2,15,1,8,2,7,0,1,1,7,2,0,0,2,0,3,0,2,8,41,12,21,0,8,0,4,1,0,0,36,23,22,1,2,0,4,0,1,0,4,0,29,0,4,1,9,0,2,0,2,1,11,0,1,1,5,0,2,2,7,0,0,6,5,32,14,1,4,3,2,0,7,8,15,0,8,18,11,0,2,0,4,3,10,3,12,14,13,0,4,2,0,0,2,0,2,0,0,3,5,0,0,0,0,0,2,0,0,4,27,2,6,0,21,0,2,3,2
9,2020-11-29,0,0,0,0,17,3,1,41,0,0,0,1,0,0,0,0,4,2,0,1,12,13,0,12,0,1,0,3,0,0,0,4,0,0,0,0,0,16,9,11,1,1,1,3,0,3,0,1,0,0,0,6,17,0,0,0,0,0,0,0,1,0,0,1,3,1,1,8,0,4,0,0,0,1,1,25,0,0,1,0,0,0,0,33,0,0,0,2,1,3,1,5,1,2,0,9,0,1,0,4,2,22,12,9,3,1,0,19,1,1,0,0,0,5,1,3,0,15,1,2,0,0,4,1,1,4,0,0,0,0,0,7,10,0,0,0,0,0,0,4,0,2,7,7,0,0,2,2,0,0,1,2,0,1,1,2,1,0,4,5,1,10,1,2,1,13,2,3,0,0,0,0,0,1,0,23,0,2,3,7,0,1,0,1,0,4,0,1,3,3,0,0,1,0,0,2,4,2,0,1,1,5,0,0,0,11,1,2,0,6,1,2,0,37,0,3,0,6,1,0,0,13,0,4,0,1,0,0,6,1,0,3,6,1,0,7,0,0,2,2,0,0,0,14,0,0,2,4,0,0,4,1,4,4,0,0,0,0,0,0,0,0,0,0,0,10,0,2,0,2,0,2,0,2,2,4,0,0,0,2,0,0,0,4,0,1,0,7,6,23,4,10,7,45,2,1,0,0,0,17,16,5,0,0,0,7,0,0,0,6,0,15,0,0,0,5,0,0,0,1,0,1,0,3,0,0,0,2,1,2,0,0,0,1,43,5,0,1,0,0,0,16,3,2,0,11,4,4,1,0,0,6,4,6,0,5,3,5,0,22,0,1,0,0,1,0,1,0,0,5,1,0,0,0,0,0,0,0,6,11,1,1,0,3,0,0,6,13
